Comment,Designator,Footprint,LCSC
TestPoint,TP6,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TP4056-42-ESOP8,U1,SOP127P600X175-9N,
TestPoint,TP7,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP5,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP4,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP3,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP2,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TestPoint,TP1,TestPoint_THTPad_1.0x1.0mm_Drill0.5mm,
TS-1187A-B-A-B,S1,SW_TS-1187A-B-A-B,
1000,R4,R_1206_3216Metric,
7500,R3,R_1206_3216Metric,
120,R2,R_1206_3216Metric,
15,R1,R_1206_3216Metric,
DRV8210PDSGR,DR2,SON50P200X200X80-9N,
DRV8210PDSGR,DR1,SON50P200X200X80-9N,
KT-0603R,D1,LED_KT-0603R,
10u,C3,C_0201_0603Metric,
10u,C2,C_0201_0603Metric,
10u,C1,C_0201_0603Metric,
